id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37380,Handy to Brisbane Airport,161432,Ann,,Wavell Heights,-27.39613,153.05249,Entire home/apt,198,3,70,2025-05-20,0.47,2,259,23,
325029,Sunny Home - 2 Bed & Deck,1564865,Roge,,West End,-27.48294,153.0108,Entire home/apt,231,2,205,2025-05-17,1.79,2,74,19,
458131,Cat lovers needed! 2 bedroom house with cat!,654019,Sue,,Fairfield - Dutton Park,-27.50951,153.02559,Entire home/apt,,14,2,2014-10-12,0.01,1,0,0,
468726,"Near the city By the river Close to UQ, Milton",2318421,Bell,,Auchenflower,-27.47546,153.00183,Entire home/apt,216,2,24,2025-01-27,0.16,5,349,3,
469007,Nice Room in Large Homely Residence,2328120,Peter,,Rocklea - Acacia Ridge,-27.59141,153.04508,Private room,50,2,55,2024-02-29,0.35,1,159,0,
472661,"Riverview, near Brisbane City ,",2318421,Bell,,Paddington - Milton,-27.47424,153.0022,Entire home/apt,252,2,27,2022-07-09,0.19,5,240,0,
500965,Family 3 Bedroom with aircon bedrooms,2471742,Albert,,Spring Hill,-27.46281,153.03009,Entire home/apt,,3,125,2024-02-17,0.93,4,0,0,
540583,"Room 1 A room, a home a place to stay/base",2656870,Carol,,Riverhills,-27.56106,152.90842,Private room,40,1,437,2025-05-17,4.45,2,263,61,
554438,Tarragindi Airbnb 2 bedroom 1 bath,2725619,Andrea,,Tarragindi,-27.53652,153.04888,Private room,200,5,137,2023-06-23,0.87,5,351,0,
624126,Spacious 2BR  unit– 5 Min Walk Convention Centre,127135,Jan,,South Brisbane,-27.4781,153.01814,Entire home/apt,351,3,317,2025-06-02,2.03,1,128,22,
641140,Studio Apartment **** Brisbane CBD,3202696,Peter,,Spring Hill,-27.46342,153.02809,Entire home/apt,160,3,147,2025-05-01,0.95,14,130,7,
